Turkish,English
nın,nn
yoksa,or
hala,still
işte,Request
oh,oh
benimle,with me
içinde,in
mısın,will you
yine,still
mü,is it?
bence,according to me
şekilde,figure
olmak,be
bugün,today
söyle,say
birlikte,together
olmaz,it is not possible
pekala,OK
uzun,long
lazım,required
biliyorsun,you know
zaten,already
para,money
ilk,first
geliyor,coming
onunla,with him
gerçek,real
dostum,mate
al,get
bakalım,let's see
onlar,them
haydi,lets
birkaç,a few
emin,sure
üç,three
herkes,everyone
dakika,minute
ı,I
söyledi,told
istiyorsun,you want to
pek,much
ister,whether ... or
saat,hour
yapıyorsun,you are doing
eve,home
yıl,year
miyim,Am I?
çocuk,child
yer,Location
hep,always
şunu,lapse
neler,what
dilerim,I wish
bekle,wait
sizin,yours
bırak,leave
olduğu,inherent
ilgili,relating to
gidelim,lets go
yere,ground
etmek,to do
an,moment
dan,from
nedir,what
un,Fame
nereye,to where
hepsi,all
istemiyorum,I do not want
olmalı,should be
buradan,from here
lanet,curse
karşı,against
kaç,how much
az,little
burası,here
hazır,ready
fakat,but
eski,former
çocuklar,kids
kendini,self
ediyorum,I'm on myself
gerekiyor,needs
benden,from me
yapmak,make
kadın,woman
söz,promise
kesinlikle,definitely
zor,hard
işe,if
anda,at the moment
tane,piece
diğer,other
dinle,listen
bunlar,these
işi,heat
kişi,person
görmek,to see
kabul,acceptance
niye,why
istiyor,wants
seviyorum,I like
aman,Oh
sağ,right
zorunda,must
misiniz,are you?
tanrı,God
yarın,tomorrow
kez,times
bundan,from this
İki,Two
elbette,of course
falan,like
gidip,commuting
hem,both
yanlış,wrong
onlara,to them
senden,from you
hoş,pleasant
doktor,doctor
tatlım,sweetie
yapma,do not do that
özel,special
yemek,food
hafta,week
kontrol,control
ediyor,It is doing
gereken,required
yerde,on the floor
oraya,there
hâlâ,still
geç,LAT
dedim,I said
mutlu,happy
ye,eat
bazı,Some
birini,one
ayrıca,also
ondan,from him
eminim,I am sure
nereden,Where from
etti,has been
dışarı,out
beri,since
gitti,gone
yalan,Lie
edin,acquire
bakın,Look
yalnız,alone
insan,human
gördüm,I saw
değildi,It was not
merak,wonder
insanlar,people
polis,police
ihtiyacım,I need it
erkek,Male
görüşürüz,see you later
dün,yesterday
ah,Ah
haber,news
la,LA
musunuz,Are you?
babam,my father
gidiyor,going
pekâlâ,OK
yi,yi
olmuş,dead
akşam,evening
den,from
geçen,last
sakin,beware
ha,Ha
sanki,as if
beş,five
karar,decision
nefret,hate
sabah,morning
yaptım,I did
veya,or
dikkat,Caution
umarım,I hope so
yerine,in its place
çabuk,quick
etme,fancy
olması,be
farklı,different
değilsin,You are not
ay,moon
sonunda,finally
gördün,you saw
ettim,mained
sence,what do you think
fark,difference
üzerinde,over
aptal,silly
kendimi,myself
tamamen,completely
oldukça,increasingly
su,That
boyunca,along
kendine,yourself
tarafından,by
yeter,enough
dünya,Earth
u,U
yı,yo
olduğumu,that I am
bunları,these
vardır,has
öldü,died
olursa,if
açık,open
neyse,anyway
annem,My mother
kes,cut
İlk,First
istediğim,I want to
adı,First Name
dr.,dr.
yaptın,you did
yap,do
hangi,which
olamaz,I can not be
ancak,However
söyledim,I told
görünüyor,seem
dört,four
yüzünden,because
aldım,I bought
olsa,though
birşey,Something
birisi,someone
be,bee
yoktu,did not have
kolay,easy
dolar,dollar
dedi,said
sahip,owner
ise,if
olmadığını,whether
yanında,beside
gelecek,the future
adamı,man
bende,me too
buldum,I found
yol,path
geldim,I came
bazen,sometimes
konuşmak,talk
başına,per
gitmek,to go
anlıyorum,I understand
beraber,together
henüz,yet
yapıyor,doing
yolu,road
bitti,finished
onların,they
cevap,reply
evde,at home
yardımcı,helper
zamanı,the time
almak,receive
konusunda,about
genç,youth
oldum,became
nun,nun
takip,follow-up
kal,remain
öyleyse,then
kahretsin,damn it
durum,situation
tabi,subject to
günü,day
ateş,fire
adamın,the man's
muhtemelen,probably
adım,my name
istedim,I wanted
söylemek,to say
azından,at least
düşündüm,I thought
le,le
yaptı,made
neredeyse,almost
eder,tender
olun,be
yeniden,again
düşünüyorsun,you are thinking
ciddi,serious
vay,Wow
herhangi,any
ev,House
hızlı,fast
sanmıyorum,I do not think so
süre,duration
içeri,inside
altında,under
mükemmel,perfect
göz,eyelash
kan,blood
düşünüyorum,I'm thinking
ara,Search
boş,empty
miyiz,we are?
konuda,on the subject
halde,stiff
duydum,I heard
oğlum,my son
şeyin,thing
uzak,far
gelen,incoming
aç,hungry
işin,ray
hayatta,in life
çıktı,output
sakın,beware
saniye,second
yakın,near
anladım,I understand
garip,strange
john,John
olduğuna,on
on,front
arada,in between
hayal,dream
gidiyorum,I'm going
araba,car
çeviri,Translation
çalışıyorum,I'm working
jack,Jack
söylüyor,sings
sürü,herd
hepimiz,we all
kaldı,remaining
galiba,I guess
canım,Darling
hayatım,my life
rahat,comfortable
kimin,who's
alo,Hello
olacağım,I will be
güçlü,strong
savaş,war
verdi,gave
ta,ta
ortaya,revealed
şeye,ate
bebeğim,my baby
başladı,started
dersin,Course
gelip,come-up
hayat,life
bilirsin,you know
çalışıyor,it works
durumda,in case of
hatta,mistake
geldin,You came
yaptığını,that
sende,you too
olay,event
şeyleri,things
adamım,my man
kesin,definite
arasında,between
arkadaşım,my friend
hareket,movement
altı,six
bebek,baby
kardeşim,my brother
çocuğu,gap
böylece,like this
acaba,rave
sürekli,continually
bin,thousand
ihtiyacı,need
haklısın,you're right
soru,question
olmadan,without
hava,weather
terk,abandonment
silah,weapon
olacağını,supreme
yapacağım,I will do
gelir,income
varsa,If applicable
komik,comic
kısa,short
aynen,exactly
etmeye,rambling
üzerine,over
el,hand
zarar,damage
şaka,joke
birinin,one's
güle,bye
zamanda,in time
siktir,Fuck
daki,on
acele,rush
telefon,phone
ait,belonging
gizli,hidden
oyun,the game
kızı,daughter
şuna,told
diyorsun,you say
yeterince,enough
verdim,I gave
evlat,son
geçti,passed
baban,your father
olmayacak,will not be
dışında,outside
yolunda,on the way
hepsini,all
uygun,suitable
dans,dance
günaydın,good morning
kapıyı,the door
olurdu,it would be
tuhaf,strange
memnun,pleased
hissediyorum,I am feeling
fikir,idea
yüksek,high school
new,new
olmadı,It did not happen
beyler,gentlemen
tür,type
verin,give
değildir,it is not
korkunç,terrible
rahatsız,uncomfortable
gidiyoruz,We are going
gerektiğini,necessarily
geceler,nights
aldı,took
gidiyorsun,You are going
iyiyim,I'm fine
kere,times
sanıyordum,I thought it was
eden,edien
gelin,bride
veriyorum,I'm giving
edecek,will
beyaz,White
yaşlı,old
mümkün,possible
neyi,what
dolu,full
içine,into
çıkar,interest
ölüm,death
sensin,you are you
nasılsın,how are you
bilmek,to know
belli,clear
sanıyorsun,you think you are
sevindim,I am pleased
yakında,soon
varmış,held
tahmin,prediction
sam,Sam
herif,guy
durun,stop
parayı,money
şöyle,like this
yalnızca,Only
vermek,to give
biliyordum,I knew
ediyorsun,You are doing
acı,aspect
yapamam,I can not do it
mısınız,are you are you?
yapmaya,to do with
neydi,what was it
hasta,patient
üzere,abominable
yapacağız,we will do
istedi,wanted
çeneni,jaw
güvenlik,security
berbat,wretched
annen,your mother
bizimle,with us
geliyorum,I'm coming
İçeri,Inside
yapacak,will make
dair,about
başkan,Minister
dedin,you said
neyin,what
sizinle,With you
dikkatli,carefully
anladın,you understand
yapıyorum,I'm doing it
ihtiyacın,Your need
olmayan,non-
ihtiyacımız,we need
ölü,dead
aile,family
bırakın,leave
birine,to someone
istediğini,desirable
tatlı,sweet
deli,mad
milyon,million
normal,normal
söyledin,You said
dışarıda,outside
insanların,peoples
diyorum,I say
sefer,expedition
olup,is and
pardon,pardon
otur,sit down
yemin,oath
ana,mother
te,te
keşke,If only
ettin,you have tired
dünyanın,the world's
şans,chance
baş,top
affedersiniz,you forgive
evine,home
biliyoruz,we know
aşağı,down
yeri,lace
İnsanlar,People
millet,people
aşk,love
bununla,With this
çık,exit
kapa,shuttle
miydi,Was it
at,horse
durumu,situation
bilmem,I do not know
arkadaş,friend
kendisi,itself
herkesin,everybody's
kusura,vulgar
doğum,birth
yapar,it makes
charlie,charlie
isterim,I would like
istersen,if you want
yaşında,old
michael,michael
cidden,really
oradan,from there
the,the
kahve,coffee
hata,error
seks,sex
kızlar,girls
kaptan,captain
yavaş,slow
alıp,pickup
bakma,do not look
hayatını,your life
dek,until
yeterli,sufficient
mıydı,were it?
zamandır,is time to
asıl,Royal
bunların,these
hoşça,nicely
önünde,in front of
sessiz,quiet
kızım,my daughter
frank,franc
erken,early
aldın,you have received
york,york
sıcak,hot
tehlikeli,dangerous
amerika,America
düşünüyor,he thinks
dön,frost
bilgi,information
getir,bring
güç,strength
hak,right
ufak,small
buradayım,I am her
bilmiyor,he does not know
cinayet,murder
diyor,says
gelmiş,came
üstüne,over
mesaj,message
nefes,breath
ele,handling
birçok,many
olmasını,be
yüz,face
basit,simple
yukarı,above
çek,Check
olduğum,that I am
köpek,dog
duydun,you heard
edeceğim,I will make
evi,the House
gayet,very
şarkı,song
tıpkı,just as
benziyor,it looks like
anlaşıldı,understood
inanamıyorum,I cant believe
olduğun,that you are
bulmak,to find
söylüyorum,I'm saying
kızın,your daughter
vakit,time
n,n
yıldır,years
görüyorum,I see
haklı,right
ses,sound
olsaydı,If it was
sonraki,next
konu,Subject
almaya,to take
gitmem,I dont go
işler,works
muhteşem,wonderful
görünüyorsun,you appear to be
gidin,go to
olacaksın,you will be
neye,whereat
dalga,wave
film,film
adını,name
kimsenin,of anyone.
bi,one
yerinde,in place
bayım,sir
bilmiyordum,I did not know
yapmam,I don't
yapacaksın,you are going to do
istediğin,you want
koca,husband
yu,yu
buldun,you found it
olmalısın,you must be
ikinci,second
anlamıyorum,I do not understand you
hatırlıyor,remembers
insanları,people
noel,Christmas
acil,urgent
mike,mike
parti,party
george,George
lan,lan
sebebi,reasons
fena,bad
söylemiştim,I told you
yedi,seven
tom,Tom
joe,joe
özellikle,especially
zamanlar,times
yaptığı,her
bilir,knows
yaparım,I do
alabilir,can take
birden,suddenly
ajan,agent
yanına,next
sebep,reason
eğlenceli,funny
dedektif,detective
adına,in the name of
düşün,think
rağmen,despite
olmaya,to be
tut,Keep
görünüşe,apparently
herhalde,I suppose
söylüyorsun,you're saying
yapalım,let's do
buradaki,here
yoktur,absent
zavallı,poor
david,david
yemeği,food
baksana,bakana
temiz,clean
babası,her father
arkadaşın,your friend
içki,drink
söyleme,told
burda,here
İşe,If
allah,God
parçası,Part of it
s,s
biriyle,with one
üstünde,above
şeyden,thing
istiyorsan,if you want
uyuşturucu,drugs
konuşma,speech
olduğundan,since
öldürmek,kill
sesini,your voice
bekliyor,waiting
suç,crime
görüyor,he sees
gerçeği,truth
alın,forehead
katil,join
sevgili,Dear
peter,Peter
yerini,substantial
defa,times
gerekir,must
müzik,music
kayıp,loss
güvenli,trustworthy
tercih,choice
patron,boss
sayın,Dear
gerekiyordu,it is supposed to be
çoğu,most
değiliz,we are not
işim,name
geldik,we came
kimseye,to anyone
çoktan,already
dürüst,honest
alacağım,I'll get it
eskiden,before
teklif,offer
arkadaşı,his friend
dolayı,because
numara,number
sonsuza,forever
geldiniz,welcome
bilemiyorum,I do not know
sonu,end
olma,being
unutma,do not forget
kırmızı,Red
teslim,delivery
canlı,live
oda,room
yapan,engaged
saçma,absurd
işini,Your job
babamın,my fathers
yaptığın,that you are doing
soğuk,cold
verir,gives
kimsin,who are you
bahsediyorsun,you are talking about
bağlı,connected
yapabilirim,I can
onlardan,from them
bizden,U.S
süper,Super
bulduk,we found
hanımefendi,Lady
herşey,everything
seviyor,love
alan,area
yaşıyor,lives
olmasın,whether
onlarla,with them
davet,Invitation
yapmış,made
ölmüş,dead
yürü,walk
sahibi,owner
kalk,get up
elinde,in your hand
umurumda,I care about
sıra,order
istemiyor,doesn't want to
çalışıyorsun,you are working on
çocukları,their children
tanıyor,knows
burayı,here
görmeye,see
kalan,remainder
istiyoruz,we want
sert,hard
tamamdır,OK
olası,possible
fikrim,my idea
aşık,in love
günler,days
adamlar,men
dava,case
sene,year
çekil,get out
iyisi,bestial
sağol,Thanks
bakayım,I'll see it
zorundayım,I have to
anlat,to explain
kavga,fight
anlamı,meaning
İyiyim,I am good
alır,gets
görmedim,I did not see
kendime,to myself
kral,King
kalmak,to stay
geldiğini,ceived
okul,school
şehir,city
gitsin,let go
park,Park
bekleyin,wait
gelmek,come
İş,Work
kapı,door
yaptığım,I have made
anlamına,mean
takım,set
yola,sacrifice
altına,under
kendim,myself
çocuğun,the child's
kara,black
istemedim,I didn't want to
hatırlıyorum,I remember
söyleyeyim,let me tell
edebilir,can
canına,farther
mesela,for example
iç,internal
güneş,Sun
orası,there
herkese,to everyone
sesi,voice
olayı,incident
şimdiye,sovereign
pislik,dirt
önceki,previous
ağır,heavy
yarım,my love
sık,stylish
adama,man
düşünüyordum,I was thinking
vereceğim,I will give
paul,paul
henry,Henry
hale,halo
anlaşma,agreement
öğrenmek,learn
etmiş,meated
ikna,persuasion
aşkına,to your sake
anlıyor,understands
duruyor,is standing
olabilirim,I can be
getirdim,I brought
affedersin,you forgive
gurur,pride
deki,at
demektir,means
sırada,in order
ifade,expression
aferin,well done
l,l
sıkı,tight
max,Max
bölüm,section
siyah,black
yazık,what a pity
kalp,heart
arka,back
verici,transmitter
m,m
suçlu,guilty
kadının,woman's
oldun,you have been
düşünmüştüm,I have thought of
yapmayı,conducting
kalın,thick
herşeyi,everything
başıma,on my head
şef,chef
telefonu,phone
silahı,weapon
annesi,her mother
edeyim,let me be
resmi,official
gittim,I went
hoşuma,liking
vakti,time
veriyor,gives
hepiniz,all of you
gider,expense
serbest,free
üst,top
göster,show
kaldım,I stayed
kadınlar,women
yla,yla
kitap,book
kelime,word
dünyada,in the world
orospu,bitch
olman,being
birileri,somebody
günün,your day
gidecek,will go to
istiyorsunuz,you want to
arabayı,the car
sürece,as long as
satın,purchase
zengin,rich
sona,end
tehdit,threatening
bira,beer
ilginç,interesting
sekiz,eight
söyleyeceğim,I will say
ettiğini,stenciled
üçüncü,third
james,james
söylemiştin,you told
b,b
almış,bought
hayatı,vital
alex,alex
olmayı,to be
na,na
tarafa,side
bayanlar,ladies
yıllar,years
olanlar,those who are
verdin,you gave
aptalca,stupid
mıyım,are I?
nedeni,Reason
danny,danny
zamanlarda,at times
iyilik,goodness
altın,gold
istemem,I do not want
çalışan,worker
öldürdü,killed
yaklaşık,approximately
yapıyoruz,we are doing
kendin,yourself
mantıklı,logical
konuş,Talk
değer,value
taraftan,from the side
isim,name
işleri,jobs
niçin,why
gideceğim,I will go
dua,prayer
dinleyin,listen
deniz,sea
duymak,to listen
okula,to school
yolunu,gay
yaşam,life
general,general
olacağız,we will be
herkesi,everyone
mary,Mary
güvende,sustained
yapabilir,can-do
yapıyorsunuz,you are doing
edelim,let's
karanlık,dark
ayak,foot
yapmadım,I haven't done it
alıyor,taking
görev,task
kimseyi,nobody
sigara,cigaret
yaşamak,to live
çıkıp,out
hediye,gift
çeşit,sort
ortak,partner
edip,edip
aşırı,extreme
önceden,previously
bok,shit
güven,confidence
polisi,police
duyuyor,hears
elde,obtain
gitmiş,gone
sarah,sarah
bey,gentleman
teki,single
gerekecek,will be required
severim,I like it
alıyorum,I'm buying
geldiğinde,when it comes to
sahte,fake
ee,ee
isteyen,wishing
duyuyorum,I hear it
sizden,from you
muydu,Was the
jimmy,jimmy
kalacak,will stay
ahbap,buddy
parça,piece
ortadan,eliminated
mavi,blue
amerikan,American
saçmalık,nonsense
kalmadı,has not been left
çift,couple
d,D
endişelenme,Do not worry
hayatımı,my life
dışı,female
rica,request
kişisel,personal
kadını,woman
yo,yo
elini,your hand
derece,degree
salak,idiot
fbi,FBI
kimi,who
biliyorsunuz,you know
bul,find
tan,tan
hani,danger
erkekler,boys
saygı,respect
birazdan,soon
kulak,ear
elimden,my hand
evin,your house
ön,front
tanıyorum,I know
döndü,turned
zorundasın,you have to have
gücü,power
zeki,intelligent
çalıştım,I worked
gitme,do not go
seksi,sexy
gördüğüm,I have seen
nick,Nick
verme,giving
tebrikler,congratulations
farkında,aware
arıyor,calling
etmez,unmovable
söyleyin,Say
İkinci,Second
söyler,says
balık,fish
ten,skin
harry,harry
ellerini,your hands
İsa,Jesus
destek,support
yüzbaşı,captain
olurum,I will be
yanımda,by my side
kutsal,sacred
insanlara,to people
ray,rail
alt,lower
yaz,summer
gibiydi,seemed
kapat,close
karım,my wife
jim,jim
alacak,will take
isterdim,I would like to
bayağı,pretty
grup,group
istediği,wanted
annemin,my mom's
öylece,in such a
türlü,kind of
gerekli,necessary
ikiniz,the two of you
korumak,to protect
yolda,on the road
olmadığı,incommunicative
geriye,back
hayatın,Your life
yaptık,we did
verecek,will give
ilgisi,the interest of
çıkmak,exit
epey,quite
iyidir,is good
hoşuna,liked
adın,your name
gerekirse,if necessary
gelmedi,did not come
ediyoruz,we do
peder,father
bildiğim,that I know
tony,tony
inanılmaz,incredible
olduğumuzu,that we are
anlamadım,I did not understand
ders,lesson
gelmiyor,does not come
şanslı,lucky
adamla,man with
sarhoş,drunk
defol,get out
kalmış,stuck
jane,jane
haline,into
mesele,issue
gir,enter
dahil,including
koy,Bay
arama,call
baştan,sediment
hikaye,story
olduğunda,when
buydu,that was
sıradan,ordinary
geleni,fair
derin,deep
kalsın,remain
yiyecek,food
paris,Paris
bob,bob
bill,bill
buralarda,around
birinci,first
söylemişti,told
lee,lee
götür,take
önemi,importance
babanın,your father's
yıldız,star
etmeyi,stiffen
olmam,not
muydun,Was the
arıyorum,I am searching
İnsan,Human
oyunu,game
kaza,accident
ailesi,family
şimdilik,for now
başladım,I started
giden,outgoing
sorunu,problem
plan,plan
araya,inter-
bilmiyorsun,You do not know
kafa,head
gördünüz,you have seen
yapman,do
buradasın,you are here
aradı,called
yerden,from the ground
ikimiz,the two of us
test,test
yaramaz,naughty
evinde,at home
yoluna,in the way
edersin,you'll
unut,forget
korkarım,I'm afraid
hayvan,animal
geçmiş,past
olanları,the ones that are
gösteriyor,is showing
çay,tea
olabilirsin,you can be
buyurun,that
kapalı,closed
neredesin,where are you
şuraya,on
zorundayız,We have to have to
yardıma,assistance
kahrolası,goddamn
sanmıştım,I thought it was
yoldan,on the road
aklıma,to my mind
istediğimi,that I want
zamana,time
doğal,natural
tarafta,on the side
nesi,nest
miydin,were you?
birşeyler,something
çıkıyor,it comes out
sevdim,I loved
değerli,valuable
sürpriz,surprise
gitmeliyim,I have to go
konuyu,subject
parmak,finger
amca,uncle
hamile,pregnant
genelde,in general
ziyaret,visit
başarılı,successful
dünyayı,the world
sevgilim,my darling
üzgün,sad
richard,richard
akşamlar,evenings
tedavi,treatment
oğlu,son-
korkuyorum,I am scared
arkasında,behind
albay,colonel
düzgün,smooth
edildi,was to have been
mark,mark
inanıyorum,I believe in
istersin,you want
ayağa,foot
ciddiyim,I am serious
çalışmak,to work
yargıç,judge
avukat,lawyer
edebilirim,i can i can
cehenneme,hell
alayım,my teasing
majesteleri,Your Majesty
sevdiğim,Favorite
arabaya,in the car
bekliyorum,I am waiting
başlıyor,starting
konuşmaya,conversation
gittiğini,gone
sol,left
kat,floor
söylemem,I wouldn't say
sahi,actually
çekilin,withdrawal
seyirler,cruise
baylar,gentleman
diyeceğim,I will say
kafayı,head
yapabilirsin,you can do
veririm,I'll give it
çalışma,study
can,Bell
akıllı,clever
istiyorlar,they want
sonuçta,ultimately
buldu,found
kanıt,evidence
londra,London
yle,yl
hapse,jail
yatak,bed
şeker,candy
şarap,wine
muyum,am i am?
yarısı,half
kurtarmak,to save
değildim,I was not
olanı,one
olduğunuzu,that you are
mal,goods
evden,from home
güzeldi,it was nice
elimizde,we have
evli,married
çocukların,of children
asker,soldier
elimde,in my hand
öldürmeye,killing
olmasına,to be
dünyaya,to the Earth
olduklarını,that they are
dene,try
sağlam,durable
demiştim,I said
kadarıyla,as far as
yüce,sublime
oturup,situated
müthiş,wonderful
günde,per day
şeytan,Devil
ederiz,worry
steve,steve
aramızda,among us
olsam,If I were
pis,filthy
kaybettim,I've lost it
itiraf,admission
yazıyor,he is writing
gözlerini,your eyes
aldık,we have received
profesör,professor
bazıları,some
iğrenç,disgusting
billy,billy
sever,likes
konuşabilir,can talk
iptal,cancel
tommy,tommy
bilim,science
olacaktır,will be
mıyız,are we
geçiyor,passing
yada,or
girdi,entry
odasında,in the room
sonuna,to the end
süredir,is the period of time
daima,always
etmeyin,Do not make it
ailem,my family
haberi,news
ettik,we've been to the
sayılmaz,notable
arıyorsun,You are looking for
t,t
of,Ugh
kulağa,to the ear
kime,to who
çalış,Work
şanslar,luck
yemeğe,dinner
söylediler,they told
masum,innocent
aradım,I called
istedin,you wanted
özgür,free
teğmen,lieutenant
sorunun,of the problem.
kuzey,North
konuşuyor,speaking
ryan,ryan
sayesinde,thanks to
gelebilir,may come
diğerleri,others
kurban,victim
alırım,I get
yaşayan,live
deme,do not say
buz,ice
etmem,I wouldn't be able to
önüne,before
zayıf,weak
söyleyecek,will say
alman,German
zamanında,on time
adamları,their men
sandım,I thought
şurada,there
kişinin,of the person.
sırasında,during
gelmez,incapable of
konuştum,I talked to
yabancı,foreign
birazcık,a little
abi,brother
not,note
johnny,Johnny
insanın,the man's
madem,since
yeşil,green
fazlasını,more
hoşçakal,bye
söylemeye,to say
memur,officer
şerif,Sheriff
ileri,Further
mektup,letter
fotoğraf,photograph
elinden,at
güney,South
ünlü,famous
zamandan,out of time
hallederim,i'll take care of
bakmayın,Do not look at
uyan,wake up
bomba,bomb
etrafta,around
gemi,boat
adil,fair
nde,nd
resmen,officially
çıkmış,out
hizmet,service
çin,Chinese
ikisi,the two
ölmek,to die
jake,jake
yapayım,let me do it
başa,head
daniel,Daniel
görmüş,visious
bilmiyoruz,We do not know
dönmek,return
kardeşin,your brother
ismi,name
hastaneye,to hospital
işten,dismissal
anlama,understanding
düştü,fell
giriş,login
will,will
sıkıcı,boring
söylediğim,I have told
olmuyor,It is not happening
kızgın,mad
yan,side
öğle,noon
evlilik,marriage
ararım,I'll call
çekici,attractive
hazırım,I am ready
yüzünü,face
metre,metre
başlayalım,lets start
işine,to your business
çavuş,Sergeant
you,you
şüpheli,suspicious
bunlardan,from these
olabileceğini,that you may be
beyin,brain
sırf,sheer
şansı,chance
söylemedim,I do not say
kenara,edge
bulmaya,to find out
geleceğim,I will come
bıraktım,I have left
hedef,aim
söylemedin,you didn't say
saldırı,attack
gibisin,you are like
ruh,soul
İşin,Ray
yakışıklı,handsome
seçim,vote
yağmur,rain
çıkan,exhausted
koş,run
rüya,dream
başı,head
bakmak,look
bıraktı,has left
açın,open
cinsel,sexual
fırsat,opportunity
kısmı,partial
meşgul,busy
başında,at the beginning of
chris,chris
göstermek,to show
saatte,per hour
yaptığımı,that I do
resim,picture
edeceğiz,we will be
İnsanların,Peoples
İzin,Permission
karısı,his wife
ışık,light
hatırlamıyorum,I do not remember
peşinde,pursuing
sor,sir
don,frost
robert,robert
diyelim,let's say
parasını,permanent
derhal,immediately
veren,giving
sınıf,class
getirdi,brought
askeri,military
yana,side
zamanki,the time
gideceğiz,we will go
iyiydi,It was good
kardeş,brother
getirin,bring in
piç,Bastard
engel,obstacle
etmiyor,does not make it
olmuştu,had been
annenin,your mother's
zevk,pleasure
vur,hit
hayatımın,of my life.
müdür,manager
uh,UH
sorumlu,responsible
bobby,bobby
hanım,woman
öğrendim,learned
savaşı,war
suyu,juice
uzakta,away
spor,Sport
oturun,sit down
kevin,kevin
ettiğim,that I am at
ayrı,separate
mutluyum,I'm happy
gelince,as for
ters,opposite
kocam,my husband
cep,pocket
imkansız,impossible
araştırma,research
kate,kate
çalışıyoruz,we are working
dünyadaki,in the world
ortada,in the middle
kaldır,remove
odasına,to the room
yapabiliriz,we can do
öldürdün,you have killed
dna,DNA
nasıldı,how was it
arkadaşlar,friends
verdiği,giving
budur,This is
iyice,thoroughly
birbirimize,to each other
bölge,area
charles,charles
derken,when he says
tutmak,keep
brian,brian
biliyordu,he knew
bilgisayar,computer
domuz,pig
konusu,subject
numaralı,numbered
düğün,wedding
binlerce,thousands
iyisini,well
İngiliz,British
olursun,you would be
bırakıp,out
izi,trail
martin,Martin
dokuz,nine
fazlası,more than
odası,room
değiller,they are not
arasındaki,between
ettiği,stable
konuşalım,let's talk
kişiyi,the person
tarafı,side
gitmeliyiz,we should go
başla,Start
şükür,thanks
gittin,you went
bahse,betting
polisler,police officers
işaret,sign
şeyim,my thing
girmek,to enter
ardından,next
yapın,do
ceset,body
filmi,film
tamir,fix
özledim,I miss
başından,from the beginning
orda,there
eddie,eddie
uçak,aeroplane
başlıyoruz,We are beginning
nda,nd
afedersiniz,excuse me
kocaman,huge
babamı,my father
birer,on
odada,in the room
bol,plenty
kuş,bird
kahraman,hero
çılgın,crazy
geçiyorsun,you are passing
İstediğin,You want
ihtiyaç,need
havaya,air
aklını,pronouncement
yapmamız,us to do
karın,your wife
yarı,half
gerekmiyor,is not required
eric,eric
bakıyorum,I'm looking
üzerinden,over
hariç,not including
polise,police
nerde,where
kedi,cat
geride,back
taş,stone
arayıp,calling
girip,entry
yapacağımı,that I will
amy,amy
anna,anna
edemem,i can't
problem,problem
nasılsınız,how are you
dönüp,rotate
İkimiz,The two of us
ilaç,medicine
sormak,to ask
aşağıda,below
anlaştık,agreed
harekete,action
ediyorlar,They are doing
canavar,monster
kendisini,himself
rapor,report
değilse,If not
başkanı,president
tutun,tobacco
konuşmayı,conversation
kurt,Kurd
dediğim,I said
söylerim,I say
kıza,daughter
kayıt,record
adında,named
döneceğim,I will come
kaçtı,escaped
geleceğini,your future
yerlerde,in places
sır,secret
birbirimizi,each other
